,datas,termos,posição
1547,2022-05-31,outlet,1.0
1548,2022-05-31,outlet de marcas,2.0
1549,2022-05-31,outlet de marcas,1.0
1550,2022-05-31,outlet de moda,3.0
1551,2022-05-31,outlet de moda,
1552,2022-05-31,outlet de moda,4.0
1553,2022-05-31,outlet de moda,2.0
1554,2022-05-31,outlet nike,9.0
1555,2022-05-31,outlet nike,
1556,2022-05-31,outlet nike,6.0
1557,2022-05-31,outlet nike,2.0
1558,2022-05-31,outlet premium,5.0
1559,2022-05-31,outlet premium,
1560,2022-05-31,outlet premium,1.0
1561,2022-05-31,outlet premium,3.0
1562,2022-05-31,privalia,2.0
1563,2022-05-31,privalia,3.0
1564,2022-05-31,privalia,4.0
1565,2022-05-31,privalia,1.0
1566,2022-05-31,roupas,6.0
1567,2022-05-31,roupas,16.0
1568,2022-05-31,roupas,3.0
1569,2022-05-31,roupas,23.0
1570,2022-05-31,roupas,21.0
1571,2022-05-31,roupas,2.0
1572,2022-05-31,roupas baratas,8.0
1573,2022-05-31,roupas baratas,25.0
1574,2022-05-31,roupas baratas,9.0
1575,2022-05-31,roupas baratas,27.0
1576,2022-05-31,roupas baratas,43.0
1577,2022-05-31,roupas baratas,10.0
1578,2022-05-31,roupas de marca,2.0
1579,2022-05-31,roupas de marca,1.0
1580,2022-05-31,roupas de marca,16.0
1581,2022-05-31,roupas de marca,30.0
1582,2022-05-31,roupas de marca,12.0
1583,2022-05-31,roupas de marca,4.0
1584,2022-05-31,roupas femininas,5.0
1585,2022-05-31,roupas femininas,26.0
1586,2022-05-31,roupas femininas,9.0
1587,2022-05-31,roupas femininas,3.0
1588,2022-05-31,roupas femininas,17.0
1589,2022-05-31,roupas femininas,4.0
1590,2022-05-31,roupas importadas,5.0
1591,2022-05-31,roupas importadas,2.0
1592,2022-05-31,roupas importadas,14.0
1593,2022-05-31,roupas importadas,20.0
1594,2022-05-31,roupas importadas,38.0
1595,2022-05-31,roupas importadas,1.0
1596,2022-05-31,roupas masculinas,9.0
1597,2022-05-31,roupas masculinas,23.0
1598,2022-05-31,roupas masculinas,15.0
1599,2022-05-31,roupas masculinas,39.0
1600,2022-05-31,roupas masculinas,12.0
1601,2022-05-31,roupas masculinas,1.0
1602,2022-05-31,roupas online,6.0
1603,2022-05-31,roupas online,4.0
1604,2022-05-31,roupas online,2.0
1605,2022-05-31,roupas online,19.0
1606,2022-05-31,roupas online,38.0
1607,2022-05-31,roupas online,14.0
1608,2022-05-31,vizzano,
1609,2022-05-31,vizzano,1.0
1610,2022-05-31,vizzano,9.0
1611,2022-05-31,vizzano,
1612,2022-05-31,bastille,
1613,2022-05-31,beyoung,
1614,2022-05-31,bolas de marca,
1615,2022-05-31,hope,
1616,2022-05-30,beira rio,
1617,2022-05-30,bolsas,12.0
1618,2022-05-30,bolsas,
1619,2022-05-30,calÃ§ados,7.0
1620,2022-05-30,calÃ§ados,
1621,2022-05-30,calÃ§ados,5.0
1622,2022-05-30,colcci,6.0
1623,2022-05-30,colcci,
1624,2022-05-30,colcci,2.0
1625,2022-05-30,colcci,
1626,2022-05-30,colcci,1.0
1627,2022-05-30,loja de roupas,19.0
1628,2022-05-30,loja de roupas,12.0
1629,2022-05-30,loja de roupas,
1630,2022-05-30,loja de roupas,14.0
1631,2022-05-30,loja de roupas,
1632,2022-05-30,loja de roupas,7.0
1633,2022-05-30,moda feminina,14.0
1634,2022-05-30,moda feminina,6.0
1635,2022-05-30,moda feminina,
1636,2022-05-30,moda feminina,7.0
1637,2022-05-30,moda feminina,
1638,2022-05-30,moda feminina,4.0
1639,2022-05-30,moda online,18.0
1640,2022-05-30,moda online,10.0
1641,2022-05-30,moda online,
1642,2022-05-30,moda online,9.0
1643,2022-05-30,moda online,
1644,2022-05-30,moda online,7.0
1645,2022-05-30,outlet,2.0
1646,2022-05-30,outlet,
1647,2022-05-30,outlet,
1648,2022-05-30,outlet,1.0
1649,2022-05-30,outlet de marcas,2.0
1650,2022-05-30,outlet de marcas,1.0
1651,2022-05-30,outlet de moda,2.0
1652,2022-05-30,outlet de moda,
1653,2022-05-30,outlet de moda,
1654,2022-05-30,outlet de moda,1.0
1655,2022-05-30,outlet nike,2.0
1656,2022-05-30,outlet nike,
1657,2022-05-30,outlet nike,
1658,2022-05-30,outlet nike,1.0
1659,2022-05-30,outlet premium,
1660,2022-05-30,outlet premium,
1661,2022-05-30,outlet premium,
1662,2022-05-30,outlet premium,1.0
1663,2022-05-30,privalia,2.0
1664,2022-05-30,privalia,
1665,2022-05-30,privalia,
1666,2022-05-30,privalia,1.0
1667,2022-05-30,roupas,10.0
1668,2022-05-30,roupas,5.0
1669,2022-05-30,roupas,
1670,2022-05-30,roupas,11.0
1671,2022-05-30,roupas,
1672,2022-05-30,roupas,4.0
1673,2022-05-30,roupas baratas,10.0
1674,2022-05-30,roupas baratas,6.0
1675,2022-05-30,roupas baratas,
1676,2022-05-30,roupas baratas,7.0
1677,2022-05-30,roupas baratas,
1678,2022-05-30,roupas baratas,3.0
1679,2022-05-30,roupas de marca,5.0
1680,2022-05-30,roupas de marca,7.0
1681,2022-05-30,roupas de marca,
1682,2022-05-30,roupas de marca,8.0
1683,2022-05-30,roupas de marca,
1684,2022-05-30,roupas de marca,1.0
1685,2022-05-30,roupas femininas,10.0
1686,2022-05-30,roupas femininas,4.0
1687,2022-05-30,roupas femininas,
1688,2022-05-30,roupas femininas,7.0
1689,2022-05-30,roupas femininas,
1690,2022-05-30,roupas femininas,3.0
1691,2022-05-30,roupas importadas,10.0
1692,2022-05-30,roupas importadas,6.0
1693,2022-05-30,roupas importadas,
1694,2022-05-30,roupas importadas,7.0
1695,2022-05-30,roupas importadas,
1696,2022-05-30,roupas importadas,3.0
1697,2022-05-30,roupas masculinas,5.0
1698,2022-05-30,roupas masculinas,7.0
1699,2022-05-30,roupas masculinas,
1700,2022-05-30,roupas masculinas,8.0
1701,2022-05-30,roupas masculinas,
1702,2022-05-30,roupas masculinas,1.0
1703,2022-05-30,roupas online,10.0
1704,2022-05-30,roupas online,6.0
1705,2022-05-30,roupas online,
1706,2022-05-30,roupas online,7.0
1707,2022-05-30,roupas online,
1708,2022-05-30,roupas online,3.0
1709,2022-05-30,vizzano,
1710,2022-05-30,vizzano,
1711,2022-05-30,vizzano,4.0
1712,2022-05-30,vizzano,
1713,2022-05-30,bastille,
1714,2022-05-30,beyoung,
1715,2022-05-30,bolas de marca,
1716,2022-05-30,hope,
1717,2022-05-30,beira rio,
1718,2022-05-30,bolsas,8.0
1719,2022-05-30,bolsas,9.0
1720,2022-05-30,calÃ§ados,7.0
1721,2022-05-30,calÃ§ados,2.0
1722,2022-05-30,calÃ§ados,8.0
1723,2022-05-30,colcci,19.0
1724,2022-05-30,colcci,24.0
1725,2022-05-30,colcci,22.0
1726,2022-05-30,colcci,29.0
1727,2022-05-30,colcci,14.0
1728,2022-05-30,loja de roupas,2.0
1729,2022-05-30,loja de roupas,34.0
1730,2022-05-30,loja de roupas,6.0
1731,2022-05-30,loja de roupas,33.0
1732,2022-05-30,loja de roupas,30.0
1733,2022-05-30,loja de roupas,5.0
1734,2022-05-30,moda feminina,5.0
1735,2022-05-30,moda feminina,31.0
1736,2022-05-30,moda feminina,23.0
1737,2022-05-30,moda feminina,11.0
1738,2022-05-30,moda feminina,15.0
1739,2022-05-30,moda feminina,4.0
1740,2022-05-30,moda online,52.0
1741,2022-05-30,moda online,38.0
1742,2022-05-30,moda online,4.0
1743,2022-05-30,moda online,13.0
1744,2022-05-30,moda online,75.0
1745,2022-05-30,moda online,1.0
1746,2022-05-30,outlet,3.0
1747,2022-05-30,outlet,
1748,2022-05-30,outlet,2.0
1749,2022-05-30,outlet,1.0
1750,2022-05-30,outlet de marcas,2.0
1751,2022-05-30,outlet de marcas,1.0
1752,2022-05-30,outlet de moda,3.0
1753,2022-05-30,outlet de moda,
1754,2022-05-30,outlet de moda,4.0
1755,2022-05-30,outlet de moda,2.0
1756,2022-05-30,outlet nike,9.0
1757,2022-05-30,outlet nike,
1758,2022-05-30,outlet nike,6.0
1759,2022-05-30,outlet nike,2.0
1760,2022-05-30,outlet premium,5.0
1761,2022-05-30,outlet premium,
1762,2022-05-30,outlet premium,1.0
1763,2022-05-30,outlet premium,3.0
1764,2022-05-30,privalia,2.0
1765,2022-05-30,privalia,3.0
1766,2022-05-30,privalia,4.0
1767,2022-05-30,privalia,1.0
1768,2022-05-30,roupas,7.0
1769,2022-05-30,roupas,17.0
1770,2022-05-30,roupas,3.0
1771,2022-05-30,roupas,22.0
1772,2022-05-30,roupas,21.0
1773,2022-05-30,roupas,2.0
1774,2022-05-30,roupas baratas,8.0
1775,2022-05-30,roupas baratas,26.0
1776,2022-05-30,roupas baratas,9.0
1777,2022-05-30,roupas baratas,27.0
1778,2022-05-30,roupas baratas,41.0
1779,2022-05-30,roupas baratas,10.0
1780,2022-05-30,roupas de marca,4.0
1781,2022-05-30,roupas de marca,1.0
1782,2022-05-30,roupas de marca,16.0
1783,2022-05-30,roupas de marca,31.0
1784,2022-05-30,roupas de marca,12.0
1785,2022-05-30,roupas de marca,3.0
1786,2022-05-30,roupas femininas,3.0
1787,2022-05-30,roupas femininas,25.0
1788,2022-05-30,roupas femininas,8.0
1789,2022-05-30,roupas femininas,2.0
1790,2022-05-30,roupas femininas,17.0
1791,2022-05-30,roupas femininas,4.0
1792,2022-05-30,roupas importadas,5.0
1793,2022-05-30,roupas importadas,2.0
1794,2022-05-30,roupas importadas,13.0
1795,2022-05-30,roupas importadas,20.0
1796,2022-05-30,roupas importadas,36.0
1797,2022-05-30,roupas importadas,1.0
1798,2022-05-30,roupas masculinas,9.0
1799,2022-05-30,roupas masculinas,23.0
1800,2022-05-30,roupas masculinas,15.0
1801,2022-05-30,roupas masculinas,39.0
1802,2022-05-30,roupas masculinas,12.0
1803,2022-05-30,roupas masculinas,2.0
1804,2022-05-30,roupas online,6.0
1805,2022-05-30,roupas online,4.0
1806,2022-05-30,roupas online,2.0
1807,2022-05-30,roupas online,19.0
1808,2022-05-30,roupas online,37.0
1809,2022-05-30,roupas online,14.0
1810,2022-05-30,vizzano,
1811,2022-05-30,vizzano,1.0
1812,2022-05-30,vizzano,7.0
1813,2022-05-30,vizzano,
1814,2022-05-30,bastille,
1815,2022-05-30,beyoung,
1816,2022-05-30,bolas de marca,
1817,2022-05-30,hope,
1818,2022-05-29,beira rio,
1819,2022-05-29,bolsas,12.0
1820,2022-05-29,bolsas,
1821,2022-05-29,calÃ§ados,7.0
1822,2022-05-29,calÃ§ados,
1823,2022-05-29,calÃ§ados,5.0
1824,2022-05-29,colcci,5.0
1825,2022-05-29,colcci,
1826,2022-05-29,colcci,2.0
1827,2022-05-29,colcci,
1828,2022-05-29,colcci,1.0
1829,2022-05-29,loja de roupas,20.0
1830,2022-05-29,loja de roupas,14.0
1831,2022-05-29,loja de roupas,
1832,2022-05-29,loja de roupas,15.0
1833,2022-05-29,loja de roupas,
1834,2022-05-29,loja de roupas,8.0
1835,2022-05-29,moda feminina,13.0
1836,2022-05-29,moda feminina,7.0
1837,2022-05-29,moda feminina,
1838,2022-05-29,moda feminina,6.0
1839,2022-05-29,moda feminina,
1840,2022-05-29,moda feminina,4.0
1841,2022-05-29,moda online,18.0
1842,2022-05-29,moda online,10.0
1843,2022-05-29,moda online,
1844,2022-05-29,moda online,9.0
1845,2022-05-29,moda online,
1846,2022-05-29,moda online,7.0
1847,2022-05-29,outlet,2.0
1848,2022-05-29,outlet,
1849,2022-05-29,outlet,
1850,2022-05-29,outlet,1.0
1851,2022-05-29,outlet de marcas,2.0
1852,2022-05-29,outlet de marcas,1.0
1853,2022-05-29,outlet de moda,2.0
1854,2022-05-29,outlet de moda,
1855,2022-05-29,outlet de moda,
1856,2022-05-29,outlet de moda,1.0
1857,2022-05-29,outlet nike,2.0
1858,2022-05-29,outlet nike,
1859,2022-05-29,outlet nike,
1860,2022-05-29,outlet nike,1.0
1861,2022-05-29,outlet premium,
1862,2022-05-29,outlet premium,
1863,2022-05-29,outlet premium,
1864,2022-05-29,outlet premium,1.0
1865,2022-05-29,privalia,2.0
1866,2022-05-29,privalia,
1867,2022-05-29,privalia,
1868,2022-05-29,privalia,1.0
1869,2022-05-29,roupas,9.0
1870,2022-05-29,roupas,2.0
1871,2022-05-29,roupas,
1872,2022-05-29,roupas,11.0
1873,2022-05-29,roupas,
1874,2022-05-29,roupas,3.0
1875,2022-05-29,roupas baratas,10.0
1876,2022-05-29,roupas baratas,6.0
1877,2022-05-29,roupas baratas,
1878,2022-05-29,roupas baratas,7.0
1879,2022-05-29,roupas baratas,
1880,2022-05-29,roupas baratas,3.0
1881,2022-05-29,roupas de marca,6.0
1882,2022-05-29,roupas de marca,7.0
1883,2022-05-29,roupas de marca,
1884,2022-05-29,roupas de marca,8.0
1885,2022-05-29,roupas de marca,
1886,2022-05-29,roupas de marca,1.0
1887,2022-05-29,roupas femininas,10.0
1888,2022-05-29,roupas femininas,5.0
1889,2022-05-29,roupas femininas,
1890,2022-05-29,roupas femininas,6.0
1891,2022-05-29,roupas femininas,
1892,2022-05-29,roupas femininas,3.0
1893,2022-05-29,roupas importadas,10.0
1894,2022-05-29,roupas importadas,6.0
1895,2022-05-29,roupas importadas,
1896,2022-05-29,roupas importadas,7.0
1897,2022-05-29,roupas importadas,
1898,2022-05-29,roupas importadas,3.0
1899,2022-05-29,roupas masculinas,6.0
1900,2022-05-29,roupas masculinas,7.0
1901,2022-05-29,roupas masculinas,
1902,2022-05-29,roupas masculinas,8.0
1903,2022-05-29,roupas masculinas,
1904,2022-05-29,roupas masculinas,1.0
1905,2022-05-29,roupas online,10.0
1906,2022-05-29,roupas online,6.0
1907,2022-05-29,roupas online,
1908,2022-05-29,roupas online,7.0
1909,2022-05-29,roupas online,
1910,2022-05-29,roupas online,3.0
1911,2022-05-29,vizzano,
1912,2022-05-29,vizzano,
1913,2022-05-29,vizzano,
1914,2022-05-29,vizzano,
1915,2022-05-29,bastille,
1916,2022-05-29,beyoung,
1917,2022-05-29,bolas de marca,
1918,2022-05-29,hope,
1919,2022-05-29,beira rio,
1920,2022-05-29,bolsas,8.0
1921,2022-05-29,bolsas,9.0
1922,2022-05-29,calÃ§ados,7.0
1923,2022-05-29,calÃ§ados,1.0
1924,2022-05-29,calÃ§ados,8.0
1925,2022-05-29,colcci,19.0
1926,2022-05-29,colcci,24.0
1927,2022-05-29,colcci,22.0
1928,2022-05-29,colcci,29.0
1929,2022-05-29,colcci,15.0
1930,2022-05-29,loja de roupas,2.0
1931,2022-05-29,loja de roupas,34.0
1932,2022-05-29,loja de roupas,6.0
1933,2022-05-29,loja de roupas,33.0
1934,2022-05-29,loja de roupas,30.0
1935,2022-05-29,loja de roupas,5.0
1936,2022-05-29,moda feminina,9.0
1937,2022-05-29,moda feminina,31.0
1938,2022-05-29,moda feminina,23.0
1939,2022-05-29,moda feminina,11.0
1940,2022-05-29,moda feminina,15.0
1941,2022-05-29,moda feminina,3.0
1942,2022-05-29,moda online,53.0
1943,2022-05-29,moda online,39.0
1944,2022-05-29,moda online,6.0
1945,2022-05-29,moda online,13.0
1946,2022-05-29,moda online,77.0
1947,2022-05-29,moda online,1.0
1948,2022-05-29,outlet,5.0
1949,2022-05-29,outlet,
1950,2022-05-29,outlet,2.0
1951,2022-05-29,outlet,1.0
1952,2022-05-29,outlet de marcas,2.0
1953,2022-05-29,outlet de marcas,1.0
1954,2022-05-29,outlet de moda,3.0
1955,2022-05-29,outlet de moda,
1956,2022-05-29,outlet de moda,4.0
1957,2022-05-29,outlet de moda,2.0
1958,2022-05-29,outlet nike,9.0
1959,2022-05-29,outlet nike,
1960,2022-05-29,outlet nike,6.0
1961,2022-05-29,outlet nike,2.0
1962,2022-05-29,outlet premium,6.0
1963,2022-05-29,outlet premium,
1964,2022-05-29,outlet premium,1.0
1965,2022-05-29,outlet premium,3.0
1966,2022-05-29,privalia,2.0
1967,2022-05-29,privalia,3.0
1968,2022-05-29,privalia,4.0
1969,2022-05-29,privalia,1.0
1970,2022-05-29,roupas,7.0
1971,2022-05-29,roupas,14.0
1972,2022-05-29,roupas,3.0
1973,2022-05-29,roupas,20.0
1974,2022-05-29,roupas,19.0
1975,2022-05-29,roupas,2.0
1976,2022-05-29,roupas baratas,8.0
1977,2022-05-29,roupas baratas,26.0
1978,2022-05-29,roupas baratas,9.0
1979,2022-05-29,roupas baratas,27.0
1980,2022-05-29,roupas baratas,41.0
1981,2022-05-29,roupas baratas,11.0
1982,2022-05-29,roupas de marca,6.0
1983,2022-05-29,roupas de marca,1.0
1984,2022-05-29,roupas de marca,16.0
1985,2022-05-29,roupas de marca,30.0
1986,2022-05-29,roupas de marca,12.0
1987,2022-05-29,roupas de marca,3.0
1988,2022-05-29,roupas femininas,3.0
1989,2022-05-29,roupas femininas,26.0
1990,2022-05-29,roupas femininas,8.0
1991,2022-05-29,roupas femininas,2.0
1992,2022-05-29,roupas femininas,17.0
1993,2022-05-29,roupas femininas,4.0
1994,2022-05-29,roupas importadas,8.0
1995,2022-05-29,roupas importadas,3.0
1996,2022-05-29,roupas importadas,16.0
1997,2022-05-29,roupas importadas,21.0
1998,2022-05-29,roupas importadas,2.0
1999,2022-05-29,roupas importadas,1.0
2000,2022-05-29,roupas masculinas,9.0
2001,2022-05-29,roupas masculinas,23.0
2002,2022-05-29,roupas masculinas,15.0
2003,2022-05-29,roupas masculinas,39.0
2004,2022-05-29,roupas masculinas,12.0
2005,2022-05-29,roupas masculinas,3.0
2006,2022-05-29,roupas online,6.0
2007,2022-05-29,roupas online,4.0
2008,2022-05-29,roupas online,2.0
2009,2022-05-29,roupas online,19.0
2010,2022-05-29,roupas online,37.0
2011,2022-05-29,roupas online,15.0
2012,2022-05-29,vizzano,
2013,2022-05-29,vizzano,1.0
2014,2022-05-29,vizzano,
2015,2022-05-29,vizzano,
2016,2022-05-29,bastille,
2017,2022-05-29,beyoung,
2018,2022-05-29,bolas de marca,
2019,2022-05-29,hope,
2020,2022-05-28,beira rio,
2021,2022-05-28,bolsas,14.0
2022,2022-05-28,bolsas,
2023,2022-05-28,calÃ§ados,7.0
2024,2022-05-28,calÃ§ados,
2025,2022-05-28,calÃ§ados,5.0
2026,2022-05-28,colcci,5.0
2027,2022-05-28,colcci,
2028,2022-05-28,colcci,2.0
2029,2022-05-28,colcci,
2030,2022-05-28,colcci,1.0
2031,2022-05-28,loja de roupas,18.0
2032,2022-05-28,loja de roupas,13.0
2033,2022-05-28,loja de roupas,
2034,2022-05-28,loja de roupas,14.0
2035,2022-05-28,loja de roupas,
2036,2022-05-28,loja de roupas,7.0
2037,2022-05-28,moda feminina,12.0
2038,2022-05-28,moda feminina,7.0
2039,2022-05-28,moda feminina,
2040,2022-05-28,moda feminina,5.0
2041,2022-05-28,moda feminina,
2042,2022-05-28,moda feminina,4.0
2043,2022-05-28,moda online,17.0
2044,2022-05-28,moda online,10.0
2045,2022-05-28,moda online,
2046,2022-05-28,moda online,9.0
2047,2022-05-28,moda online,
2048,2022-05-28,moda online,7.0
2049,2022-05-28,outlet,2.0
2050,2022-05-28,outlet,
2051,2022-05-28,outlet,
2052,2022-05-28,outlet,1.0
2053,2022-05-28,outlet de marcas,2.0
2054,2022-05-28,outlet de marcas,1.0
2055,2022-05-28,outlet de moda,2.0
2056,2022-05-28,outlet de moda,
2057,2022-05-28,outlet de moda,
2058,2022-05-28,outlet de moda,1.0
2059,2022-05-28,outlet nike,2.0
2060,2022-05-28,outlet nike,
2061,2022-05-28,outlet nike,
2062,2022-05-28,outlet nike,1.0
2063,2022-05-28,outlet premium,
2064,2022-05-28,outlet premium,
2065,2022-05-28,outlet premium,
2066,2022-05-28,outlet premium,1.0
2067,2022-05-28,privalia,2.0
2068,2022-05-28,privalia,
2069,2022-05-28,privalia,
2070,2022-05-28,privalia,1.0
2071,2022-05-28,roupas,8.0
2072,2022-05-28,roupas,3.0
2073,2022-05-28,roupas,
2074,2022-05-28,roupas,11.0
2075,2022-05-28,roupas,
2076,2022-05-28,roupas,1.0
2077,2022-05-28,roupas baratas,10.0
2078,2022-05-28,roupas baratas,6.0
2079,2022-05-28,roupas baratas,
2080,2022-05-28,roupas baratas,7.0
2081,2022-05-28,roupas baratas,
2082,2022-05-28,roupas baratas,3.0
2083,2022-05-28,roupas de marca,6.0
2084,2022-05-28,roupas de marca,7.0
2085,2022-05-28,roupas de marca,
2086,2022-05-28,roupas de marca,8.0
2087,2022-05-28,roupas de marca,
2088,2022-05-28,roupas de marca,1.0
2089,2022-05-28,roupas femininas,10.0
2090,2022-05-28,roupas femininas,5.0
2091,2022-05-28,roupas femininas,
2092,2022-05-28,roupas femininas,6.0
2093,2022-05-28,roupas femininas,
2094,2022-05-28,roupas femininas,3.0
2095,2022-05-28,roupas importadas,10.0
2096,2022-05-28,roupas importadas,6.0
2097,2022-05-28,roupas importadas,
2098,2022-05-28,roupas importadas,7.0
2099,2022-05-28,roupas importadas,
2100,2022-05-28,roupas importadas,3.0
2101,2022-05-28,roupas masculinas,6.0
2102,2022-05-28,roupas masculinas,7.0
2103,2022-05-28,roupas masculinas,
2104,2022-05-28,roupas masculinas,8.0
2105,2022-05-28,roupas masculinas,
2106,2022-05-28,roupas masculinas,1.0
2107,2022-05-28,roupas online,10.0
2108,2022-05-28,roupas online,6.0
2109,2022-05-28,roupas online,
2110,2022-05-28,roupas online,7.0
2111,2022-05-28,roupas online,
2112,2022-05-28,roupas online,3.0
2113,2022-05-28,vizzano,
2114,2022-05-28,vizzano,
2115,2022-05-28,vizzano,
2116,2022-05-28,vizzano,
2117,2022-05-28,bastille,
2118,2022-05-28,beyoung,
2119,2022-05-28,bolas de marca,
2120,2022-05-28,hope,
2121,2022-05-28,beira rio,
2122,2022-05-28,bolsas,8.0
2123,2022-05-28,bolsas,9.0
2124,2022-05-28,calÃ§ados,10.0
2125,2022-05-28,calÃ§ados,1.0
2126,2022-05-28,calÃ§ados,9.0
2127,2022-05-28,colcci,21.0
2128,2022-05-28,colcci,25.0
2129,2022-05-28,colcci,20.0
2130,2022-05-28,colcci,30.0
2131,2022-05-28,colcci,12.0
2132,2022-05-28,loja de roupas,5.0
2133,2022-05-28,loja de roupas,34.0
2134,2022-05-28,loja de roupas,7.0
2135,2022-05-28,loja de roupas,33.0
2136,2022-05-28,loja de roupas,30.0
2137,2022-05-28,loja de roupas,4.0
2138,2022-05-28,moda feminina,9.0
2139,2022-05-28,moda feminina,31.0
2140,2022-05-28,moda feminina,23.0
2141,2022-05-28,moda feminina,11.0
2142,2022-05-28,moda feminina,15.0
2143,2022-05-28,moda feminina,1.0
2144,2022-05-28,moda online,51.0
2145,2022-05-28,moda online,38.0
2146,2022-05-28,moda online,6.0
2147,2022-05-28,moda online,13.0
2148,2022-05-28,moda online,76.0
2149,2022-05-28,moda online,1.0
2150,2022-05-28,outlet,4.0
2151,2022-05-28,outlet,
2152,2022-05-28,outlet,2.0
2153,2022-05-28,outlet,1.0
2154,2022-05-28,outlet de marcas,2.0
2155,2022-05-28,outlet de marcas,1.0
2156,2022-05-28,outlet de moda,3.0
2157,2022-05-28,outlet de moda,
2158,2022-05-28,outlet de moda,4.0
2159,2022-05-28,outlet de moda,2.0
2160,2022-05-28,outlet nike,9.0
2161,2022-05-28,outlet nike,
2162,2022-05-28,outlet nike,6.0
2163,2022-05-28,outlet nike,2.0
2164,2022-05-28,outlet premium,6.0
2165,2022-05-28,outlet premium,
2166,2022-05-28,outlet premium,1.0
2167,2022-05-28,outlet premium,3.0
2168,2022-05-28,privalia,2.0
2169,2022-05-28,privalia,3.0
2170,2022-05-28,privalia,4.0
2171,2022-05-28,privalia,1.0
2172,2022-05-28,roupas,6.0
2173,2022-05-28,roupas,12.0
2174,2022-05-28,roupas,3.0
2175,2022-05-28,roupas,22.0
2176,2022-05-28,roupas,14.0
2177,2022-05-28,roupas,2.0
2178,2022-05-28,roupas baratas,8.0
2179,2022-05-28,roupas baratas,25.0
2180,2022-05-28,roupas baratas,9.0
2181,2022-05-28,roupas baratas,26.0
2182,2022-05-28,roupas baratas,40.0
2183,2022-05-28,roupas baratas,11.0
2184,2022-05-28,roupas de marca,7.0
2185,2022-05-28,roupas de marca,1.0
2186,2022-05-28,roupas de marca,16.0
2187,2022-05-28,roupas de marca,30.0
2188,2022-05-28,roupas de marca,12.0
2189,2022-05-28,roupas de marca,3.0
2190,2022-05-28,roupas femininas,6.0
2191,2022-05-28,roupas femininas,25.0
2192,2022-05-28,roupas femininas,7.0
2193,2022-05-28,roupas femininas,2.0
2194,2022-05-28,roupas femininas,17.0
2195,2022-05-28,roupas femininas,1.0
2196,2022-05-28,roupas importadas,5.0
2197,2022-05-28,roupas importadas,2.0
2198,2022-05-28,roupas importadas,16.0
2199,2022-05-28,roupas importadas,21.0
2200,2022-05-28,roupas importadas,8.0
2201,2022-05-28,roupas importadas,1.0
2202,2022-05-28,roupas masculinas,9.0
2203,2022-05-28,roupas masculinas,23.0
2204,2022-05-28,roupas masculinas,15.0
2205,2022-05-28,roupas masculinas,39.0
2206,2022-05-28,roupas masculinas,12.0
2207,2022-05-28,roupas masculinas,3.0
2208,2022-05-28,roupas online,6.0
2209,2022-05-28,roupas online,4.0
2210,2022-05-28,roupas online,2.0
2211,2022-05-28,roupas online,19.0
2212,2022-05-28,roupas online,37.0
2213,2022-05-28,roupas online,15.0
2214,2022-05-28,vizzano,
2215,2022-05-28,vizzano,1.0
2216,2022-05-28,vizzano,
2217,2022-05-28,vizzano,
2218,2022-05-28,bastille,
2219,2022-05-28,beyoung,
2220,2022-05-28,bolas de marca,
2221,2022-05-28,hope,
2222,2022-05-27,beira rio,
2223,2022-05-27,bolsas,14.0
2224,2022-05-27,bolsas,
2225,2022-05-27,calÃ§ados,7.0
2226,2022-05-27,calÃ§ados,
2227,2022-05-27,calÃ§ados,5.0
2228,2022-05-27,colcci,5.0
2229,2022-05-27,colcci,
2230,2022-05-27,colcci,2.0
2231,2022-05-27,colcci,
2232,2022-05-27,colcci,1.0
2233,2022-05-27,loja de roupas,17.0
2234,2022-05-27,loja de roupas,14.0
2235,2022-05-27,loja de roupas,
2236,2022-05-27,loja de roupas,13.0
2237,2022-05-27,loja de roupas,
2238,2022-05-27,loja de roupas,7.0
2239,2022-05-27,moda feminina,12.0
2240,2022-05-27,moda feminina,7.0
2241,2022-05-27,moda feminina,
2242,2022-05-27,moda feminina,5.0
2243,2022-05-27,moda feminina,
2244,2022-05-27,moda feminina,4.0
2245,2022-05-27,moda online,17.0
2246,2022-05-27,moda online,10.0
2247,2022-05-27,moda online,
2248,2022-05-27,moda online,9.0
2249,2022-05-27,moda online,
2250,2022-05-27,moda online,7.0
2251,2022-05-27,outlet,2.0
2252,2022-05-27,outlet,
2253,2022-05-27,outlet,
2254,2022-05-27,outlet,1.0
2255,2022-05-27,outlet de marcas,2.0
2256,2022-05-27,outlet de marcas,1.0
2257,2022-05-27,outlet de moda,2.0
2258,2022-05-27,outlet de moda,
2259,2022-05-27,outlet de moda,
2260,2022-05-27,outlet de moda,1.0
2261,2022-05-27,outlet nike,2.0
2262,2022-05-27,outlet nike,
2263,2022-05-27,outlet nike,
2264,2022-05-27,outlet nike,1.0
2265,2022-05-27,outlet premium,
2266,2022-05-27,outlet premium,
2267,2022-05-27,outlet premium,
2268,2022-05-27,outlet premium,1.0
2269,2022-05-27,privalia,2.0
2270,2022-05-27,privalia,
2271,2022-05-27,privalia,
2272,2022-05-27,privalia,1.0
2273,2022-05-27,roupas,8.0
2274,2022-05-27,roupas,3.0
2275,2022-05-27,roupas,
2276,2022-05-27,roupas,11.0
2277,2022-05-27,roupas,
2278,2022-05-27,roupas,1.0
2279,2022-05-27,roupas baratas,10.0
2280,2022-05-27,roupas baratas,7.0
